Nr,Event,Participant,TaskID,Reaction.Time,Audio,ANSWER,Word1,Word2,Word3,Word4,Word5,Response,WordsCorrect,Accuracy,Voice,Type,SentenceID,Noise,SubjectNr,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location,IntelligibilityTask
110,27,65081e92ed65d2d467efc9c2,task-zh25,12506,voice_08_human_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman to get back to her feet,5,1,3,clone,3,3dB,NA,Male,25,United Kingdom,2025-01-31T14:56:08.341000Z,2111,29,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task28
111,22,6717d1d0d323342f71f132bd,task-vdfc,7623.1,voice_09_human_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,8,human,3,3dB,NA,Female,26,United Kingdom,2025-01-31T12:15:59.112000Z,1470,18,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Task27
113,43,672b19cc67687cb549eb412c,task-q6h3,6922.5,voice_04_human_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,1,clone,3,3dB,NA,Male,35,United Kingdom,2025-01-31T11:15:25.742000Z,1509,100,Scotland,Task21
114,27,67468d12f6ec9cc78afdf1db,task-xvn5,1932.1,voice_07_human_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help a woman get back to her feet,5,1,6,clone,3,3dB,NA,Female,26,United Kingdom,2025-01-31T12:31:53.870000Z,1066,21,"London, England ",Task29
115,26,67701cb8e95b8934348de694,task-imj1,3867.2,voice_11_human_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,12,clone,3,3dB,NA,Male,34,United Kingdom,2025-01-31T12:14:05.291000Z,1630,74,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task25
116,28,677af110577587c2e364d1d9,task-j8gt,3718.5,voice_01_human_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,Help the woman get back to her feet,5,1,4,human,3,3dB,NA,Male,34,United Kingdom,2025-01-31T12:24:55.087000Z,1390,59,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task23
118,18,67865aa1cf8ca2f3ecd2f6f1,task-2ocn,1705.6,voice_12_human_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,3,human,3,3dB,NA,Male,28,United Kingdom,2025-01-31T12:33:56.837000Z,2964,50,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task24
119,9,678a98fcd4e1562e43020dcb,task-r7i4,6771.9,voice_03_human_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,12,clone,3,3dB,NA,Male,31,United Kingdom,2025-01-31T12:16:52.041000Z,1606,31,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Task22
120,22,5f6de39e91b3c4283af75851,task-k8cy,9176.9,voice_10_clone_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,6,clone,3,3dB,NA,Female,22,United Kingdom,2025-02-03T16:44:13.315000Z,1357,54,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task36
121,444,67660267ee75be78076712d5,task-6xu5,9228.4,voice_06_human_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,9,human,3,3dB,NA,Female,34,United Kingdom,2025-02-03T16:26:18.857000Z,2763,30,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task30
122,27,5b3016a9a8327d0001ffef94,task-obom,14106.1,voice_10_human_003_3dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the women get back to her feet,5,1,3,human,3,3dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
123,120,5ff61f4fe313fd16fbeb5af6,task-rhl1,6151.9,voice_07_clone_003_3dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,"help the woman get back to her feet
",5,1,6,human,3,3dB,NA,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,1251,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task19
148,7,6786d7a40dccb69b974eaaf8,task-tk4x,8177.5,voice_08_clone_004_-6dB.mp3,the fish twisted abd turned on the bent hook,fish,twisted,turned,bent,hook,the fish twisted and turned on the bent hook,5,1,1,clone,4,-6dB,NA,Male,19,United Kingdom,2025-02-01T13:20:04.774000Z,2683,41,"London, England ",Task39
149,90,67628c956106c1752ccacb35,task-4yg1,17374.9,voice_07_clone_004_-6dB.mp3,the fish twisted abd turned on the bent hook,fish,twisted,turned,bent,hook,the fish twisted and turned on the bent hook,5,1,11,human,4,3dB,NA,Male,34,United Kingdom,2025-02-01T12:45:39.810000Z,1928,82,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Task40
150,173,675cca3a27cd0a6fc7c16a9a,task-6oo8,9491.9,voice_06_clone_004_-6dB.mp3,the fish twisted abd turned on the bent hook,fish,twisted,turned,bent,hook,the fish twisted and turned on the bent hook,5,1,8,clone,4,3dB,NA,Male,34,United Kingdom,2025-02-01T12:32:11.381000Z,1488,121,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Task31
151,256,66a773d4190ba4a8ec71d766,task-x2qy,6866.9,voice_10_clone_004_-6dB.mp3,the fish twisted abd turned on the bent hook,fish,twisted,turned,bent,hook,the fish twisted and turned on the bent hook,5,1,1,human,4,3dB,NA,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,1218,169,"London, England ",Task37
152,339,667d95b8b25237ac4e75dfc7,task-lcuh,4936.8,voice_09_clone_004_-6dB.mp3,the fish twisted abd turned on the bent hook,fish,twisted,turned,bent,hook,the fish twisted and turned on the bent hook,5,1,6,clone,4,3dB,NA,Male,30,United Kingdom,2025-02-01T12:57:40.481000Z,1571,79,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task38
153,422,6728b1f4fe2f3ae23c9c086e,task-a44t,8363.2,voice_04_clone_004_-6dB.mp3,the fish twisted abd turned on the bent hook,fish,twisted,turned,bent,hook,the fish twisted and turned on the bent hook,5,1,10,clone,4,3dB,NA,Male,19,United Kingdom,2025-02-01T12:36:11.474000Z,1578,119,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task32
154,505,66d78e09da443c5b0f3fda98,task-zpav,16782.4,voice_03_clone_004_-6dB.mp3,the fish twisted abd turned on the bent hook,fish,twisted,turned,bent,hook,the fish twisted and turned on the bent hook,5,1,3,human,4,3dB,NA,Male,26,United Kingdom,2025-02-01T13:38:08.573000Z,1696,112,"London, England ",Task33
