Type,Noise,Voice,SentenceID,Participant,StimulusID,Tree.Node.Key,IntelligibilityTask,Sex,Age,BirthCountry,Date,,Approvals,Location,,,,Reaction.Time,EventCode,ANSWER,Response,WordsCorrect,Accuracy,TimeTaken
clone,-3dB,1,42,673a3db560114414cc28e7df,voice_01_clone_042_-3dB.mp3,task-l9ym,Task02,Female,19,United Kingdom,2025-02-03T16:14:44.463000Z,,114,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,8296,378,a pencil with black lead writes best,pencil black lead writes best,5,1,2056
clone,-3dB,8,70,5c1a371c03554a000119aaf7,voice_08_clone_070_-3dB.mp3,task-v562,Task26,Female,28,United Kingdom,2025-01-31T12:18:42.602000Z,,109,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,9015.1,75,a sash of gold silk will trim her dress,a sash of gold silk to trim your dress ,5,1,1943
clone,-3dB,12,70,672b19cc67687cb549eb412c,voice_12_clone_070_-3dB.mp3,task-q6h3,Task21,Male,35,United Kingdom,2025-01-31T11:15:25.742000Z,,100,Scotland,,,,10429.9,62,a sash of gold silk will trim her dress,the sash of gold silk was in the trim of her dress,5,1,1509
clone,-6dB,7,70,5b3016a9a8327d0001ffef94,voice_07_clone_070_-6dB.mp3,task-obom,Task06,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,7040.1,73,a sash of gold silk will trim her dress,a sash of golden silk was the trim of her dress,5,1,1380
human,-6dB,4,70,66e2bb6110820bec659a6d23,voice_04_human_070_-6dB.mp3,task-dfmo,Task18,Female,29,United Kingdom,2025-01-28T14:38:38.331000Z,,65,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,11077.7,242,a sash of gold silk will trim her dress,a sash of gold silk trims the dress,5,1,1268
clone,-6dB,7,11,66a773d4190ba4a8ec71d766,voice_07_clone_011_-6dB.mp3,task-x2qy,Task37,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,,169,"London, England ",,,,5313.2,255,a tame squirrel makes a nice pet,tame squirrel makes a nice pet,5,1,1218
human,3dB,8,11,5b3016a9a8327d0001ffef94,voice_08_human_011_3dB.mp3,task-obom,Task06,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,13090.9,25,a tame squirrel makes a nice pet,a tame squirrel makes a nice pet,5,1,1380
clone,3dB,4,11,5ff61f4fe313fd16fbeb5af6,voice_04_clone_011_3dB.mp3,task-rhl1,Task19,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,6250,115,a tame squirrel makes a nice pet,a tame squirrel makes a nice pet,5,1,1251
human,3dB,9,11,6575c7da000442e5a54f5e24,voice_09_human_011_3dB.mp3,task-ulhi,Task05,Male,28,United Kingdom,2025-01-27T12:51:25.040000Z,,195,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,5110.3,28,a tame squirrel makes a nice pet,a tame squirrel makes a nice pet,5,1,1202
clone,3dB,1,11,6658b2c0589d777bab78ad38,voice_01_clone_011_3dB.mp3,task-r77z,Task11,Male,23,United Kingdom,2025-01-23T15:17:26.232000Z,,138,"London, England ",,,,10502.4,98,a tame squirrel makes a nice pet,a tame squirrel makes a nice pet ,5,1,1443
clone,3dB,7,11,6658b4ff0f6362e1f068dd84,voice_07_clone_011_3dB.mp3,task-4oa6,Task17,Female,32,United Kingdom,2025-01-23T17:08:30.775000Z,,190,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,6730.1,192,a tame squirrel makes a nice pet,The tame squirrel makes a nice pet,5,1,1380
